modelo,accuracy,precision,recall,f1,f2,especificidad,roc_auc,pr_auc,brier,umbral,tn,fp,fn,tp
arbol_sin_poda,0.9779183154324477,0.250996015936255,0.336,0.28734321550741165,0.3146853146853147,0.986537290987862,0.6606386193562247,0.09313200448629451,0.023550999622581864,1.0,27553,376,249,126
arbol_poda8,0.9825819672131147,0.3646788990825688,0.424,0.3921085080147966,0.4106404958677686,0.9900819936266962,0.8110438612195209,0.4074853866964287,0.026546296431637688,0.7472709874082512,27652,277,216,159
red_neuronal,0.9812394007914076,0.3607142857142857,0.5386666666666666,0.4320855614973262,0.49029126213592233,0.987181782376741,0.910706720612983,0.4633118299398792,0.025497332215309143,0.6733148230446709,27571,358,173,202
baseline_persistencia,0.9827586206896551,0.38204592901878914,0.488,0.42857142857142855,0.46235472460838806,0.9894016971606574,,,,,27633,296,192,183
