modelo,accuracy,precision,recall,f1,f2,especificidad,roc_auc,pr_auc,brier,umbral,train_acc,gap,tn,fp,fn,tp
arbol_sin_poda,0.9848232581967213,0.10204081632653061,0.5952380952380952,0.17421602787456447,0.3026634382566586,0.9858738923847438,0.7920847933368802,0.09127621723677051,0.014029134779068714,0.5,0.9986477725294063,0.013824514332684945,15354,220,17,25
arbol_poda8,0.9743212090163934,0.07159904534606205,0.7142857142857143,0.1301518438177874,0.2555366269165247,0.9750224733530243,0.870808031701187,0.624624489382564,0.014805119734078652,0.5,0.8733166620357506,-0.10100454698064276,15185,389,12,30
random_forest,0.9985271516393442,0.8518518518518519,0.5476190476190477,0.6666666666666666,0.5897435897435898,0.9997431616797227,0.9825686278106979,0.7070686488960002,0.001736692453432311,0.5,0.9986848198573678,0.00015766821802354336,15570,4,19,23
gradient_boosting,0.9943647540983607,0.29464285714285715,0.7857142857142857,0.42857142857142855,0.5892857142857143,0.9949274431745216,0.9882909244344971,0.7316927105342852,0.009261153037782218,0.5,0.9014170602945263,-0.09294769380383439,15495,79,9,33
red_neuronal,0.9978227459016393,0.5740740740740741,0.7380952380952381,0.6458333333333334,0.6981981981981982,0.998523179658405,0.9834690907311943,0.7449689902318832,0.012471212074160576,0.6800480484962463,0.9051403167546541,-0.09268242914698521,15551,23,11,31
baseline_persistencia,0.994813012295082,0.2903225806451613,0.6428571428571429,0.4,0.5172413793103449,0.9957621677154231,,,,0.5,,,15508,66,15,27
