modelo,accuracy,precision,recall,f1,f2,especificidad,roc_auc,pr_auc,brier,umbral,train_acc,gap,tn,fp,fn,tp
arbol_sin_poda,0.9893058401639344,0.13450292397660818,0.5476190476190477,0.215962441314554,0.3392330383480826,0.9904969821497367,0.7683899294917659,0.07487306394971949,0.012985218361537303,1.0,0.9987601598016256,0.009454319637691166,15426,148,19,23
arbol_poda8,0.9976306352459017,0.5490196078431373,0.6666666666666666,0.6021505376344086,0.639269406392694,0.998523179658405,0.8680095641698313,0.6272424526777702,0.014512137758856094,0.7810665566165963,0.9249207879873261,-0.07270984725857554,15551,23,14,28
red_neuronal,0.9984631147540983,0.7368421052631579,0.6666666666666666,0.7,0.6796116504854369,0.9993579041993066,0.9601686571636489,0.7070368326126585,0.017155693843960762,0.7806587219238281,0.9243500678960108,-0.0741130468580875,15564,10,14,28
baseline_persistencia,0.994813012295082,0.2903225806451613,0.6428571428571429,0.4,0.5172413793103449,0.9957621677154231,,,,,,,15508,66,15,27
